Record Number,Amount Requested,Interest Rate Percentage,Loan Length in Months,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio Percentage,FICO Range,Status
115,16200,16.49,60,Debt Consolidation Loan,debt_consolidation,398.19,16200,22.07,695-699,0
116,8000,13.43,36,Back on Track,debt_consolidation,271.22,8000,24.55,675-679,1
117,5000,6.03,36,Credit one payoff,credit_card,152.18,5000,23.13,745-749,0
118,10000,13.67,60,debt consolidation,debt_consolidation,230.98,10000,21.49,740-744,0
119,3000,13.85,36,NRC,wedding,102.32,3000,3.09,675-679,1
120,20000,17.56,36,Dan's Consolidaton Loan,debt_consolidation,718.65,20000,15.88,660-664,1
121,16000,13.22,36,Head above Water loan,credit_card,540.81,16000,19.91,705-709,1
122,8000,14.26,36,Loan request for debt consolidation & independent consulting practice,other,274.45,8000,11.61,680-684,0
123,2500,9.64,36,re-model bathroom,home_improvement,80.26,2500,20,770-774,0
124,14300,11.49,60,Consolidate ,small_business,314.43,14300,8.63,785-789,0
125,4600,13.99,36,Pay off Bills,debt_consolidation,157.2,4600,14.26,675-679,0
126,6400,7.4,36,Home remodel,major_purchase,198.78,6400,0,770-774,1
127,4800,10,36,Business Equipment Purchase,small_business,154.89,4800,23.37,725-729,1
128,6000,8.88,36,car,car,190.47,6000,5,715-719,1
129,11200,7.88,36,BPK Loan,debt_consolidation,350.34,11200,19.15,735-739,0
130,3500,13.67,36,Home Improvement,home_improvement,119.07,3500,17.74,690-694,1
131,8400,17.93,60,car finisher,major_purchase,212.99,8400,4.2,665-669,0
132,25000,10.99,36,looking to consolidate higher-interest balances,debt_consolidation,818.38,25000,14.48,750-754,1
133,25000,15.33,36, CC Consolidation Loan ,debt_consolidation,870.71,25000,18.5,690-694,0
134,14000,16.82,60,House Repairs,home_improvement,346.59,14000,14.05,680-684,0
135,32250,19.42,60,Debt Consolidation,debt_consolidation,844.06,32250,20.99,700-704,1
136,8400,6.62,36,AMEX REFINANC,credit_card,257.92,8400,24.57,740-744,0
137,19000,17.27,60,To start new beginning,moving,474.97,19000,17.32,710-714,1
138,18000,14.11,36,consolidation loan,debt_consolidation,616.12,18000,14.49,690-694,1
139,15000,15.05,36,Purchasing a Laundromat,small_business,520.37,15000,11.38,675-679,0
140,6000,6.62,36,Debt Consolidation,debt_consolidation,184.23,6000,6.05,790-794,1
141,12000,18.49,36,credit refinancing,credit_card,436.79,12000,22.14,660-664,0
142,8000,12.21,36,LSA Airplane Purchase,major_purchase,266.52,8000,0.07,720-724,1
143,15000,10.37,36,Debt Consolidation Loan,debt_consolidation,486.62,15000,21.79,705-709,0
144,15000,13.16,36,"""Getting ahead on my debt"" loan",debt_consolidation,506.56,15000,11.67,685-689,0
145,4000,12.72,36,Credit Card Debt Consolidation,debt_consolidation,134.24,4000,3.98,665-669,1
146,14000,11.11,36,Debt Free,debt_consolidation,459.08,14000,14.26,685-689,1
147,20000,18.25,60,consolidation,debt_consolidation,510.6,20000,18.12,690-694,0
148,26000,19.91,60,Small Business Loan,small_business,687.54,26000,21.45,695-699,0
149,11100,14.65,36,help me,debt_consolidation,382.89,11100,22.66,680-684,0
150,7000,10.65,36,debt consolidation,debt_consolidation,228.02,7000,12.26,715-719,0
151,2000,9.62,36,Help Alex,debt_consolidation,64.18,2000,10.39,695-699,1
152,13000,10.75,36,Home Improvement Loan,home_improvement,424.07,13000,4.47,725-729,1
153,9000,15.8,36,debt consolidation,debt_consolidation,315.53,9000,23.95,675-679,0
154,4000,13.48,36,Consolidation Loan,debt_consolidation,135.7,4000,22.6,670-674,1
155,6500,9.38,36,daughter's vehicle,debt_consolidation,207.85,6500,13.42,740-744,1
156,3200,10.37,36,GREEN LOAN,renewable_energy,103.82,3200,18,700-704,0
157,1000,17.49,36,Living,moving,35.9,1000,20.4,680-684,0
158,3250,8.94,36,Fast Payback,other,103.26,3250,6.13,745-749,0
159,25000,20.77,60,Debt Consolidation,debt_consolidation,428.77,15925,9.5,665-669,0
160,12000,13.22,36,Consolidate Debt for Parents,debt_consolidation,405.61,12000,3.7,765-769,1
161,7600,12.84,36,Modest Wedding for Marin Veteran,wedding,255.5,7600,0,755-759,0
162,21000,15.58,60,William's Consolidation,debt_consolidation,506.01,21000,4.93,705-709,0
163,10000,12.84,36,Debt Consolidation,debt_consolidation,336.18,10000,19.49,690-694,1
164,33600,14.65,36,ConsolidateLoans,debt_consolidation,1159.01,33600,12.27,715-719,1
165,12000,11.71,60, Home Improvement,home_improvement,265.18,12000,8.59,725-729,1
166,20000,11.48,36,credit card debt cosolidation.,debt_consolidation,659.37,20000,7.23,765-769,1
167,25000,16.08,36,Purchase of Apartment Building,major_purchase,879.92,25000,6.4,665-669,0
168,35000,22.35,60,Debt Consolidation Loan,debt_consolidation,973.64,35000,15.84,660-664,0
169,12000,16.45,60,Bill payoff,debt_consolidation,294.7,12000,18.64,675-679,0
170,6000,7.74,36,Excellent deal,house,187.32,6000,16.76,790-794,1
171,7200,8.07,36,Consolidate debt,debt_consolidation,225.86,7200,17,760-764,0
172,4000,9.32,36,Consolidate,debt_consolidation,127.79,4000,17.82,745-749,0
173,11000,12.98,60,Major Purchase,major_purchase,250.18,11000,13.98,725-729,0
174,12375,15.31,36,Consolidation of debts,debt_consolidation,430.87,12375,11.95,675-679,1
175,20000,8.88,36,sister's wedding expence ,other,385.69,12150,7.96,730-734,0
176,16000,15.81,60,Debt consolidation,debt_consolidation,387.48,16000,15.98,715-719,0
177,5000,10.39,36,IRSWoes,other,134.67,4150,5.91,695-699,0
178,8875,12.42,36,Minneapolis Move,moving,296.57,8875,5.24,695-699,0
179,1600,10.83,36,Emergency Cash Recovery,other,52.26,1600,5.36,700-704,1
180,15000,13.98,36,Debt Consolidation,debt_consolidation,512.52,15000,16.67,685-689,0
181,10000,12.73,36,Progressing for the Future,debt_consolidation,335.67,10000,22.21,695-699,1
182,5000,13.23,36,August loan,other,169.03,5000,6.2,680-684,0
183,17500,14.22,36,t's Loan,debt_consolidation,599.99,17500,3.86,680-684,1
184,7500,9.99,36,TGFC,major_purchase,241.97,7500,9.62,710-714,0
185,3800,10.65,36,Truck loan,car,123.78,3800,13.6,700-704,1
186,4200,14.26,36,Motorcycle,other,144.09,4200,12.11,665-669,0
187,9600,10,60,Loan for Credit Consolidation,credit_card,203.98,9600,27.66,745-749,1
188,16500,12.18,36,bank of america pay off ,credit_card,549.45,16500,16.06,715-719,1
189,10500,14.65,36,debt con,debt_consolidation,362.19,10500,22.1,675-679,0
190,14400,7.14,36,Debt Consolidation,debt_consolidation,445.56,14400,4.96,775-779,1
191,4500,12.98,36,Motorcycle loan,major_purchase,151.58,4500,7.27,690-694,1
192,12000,11.58,36,Business relocation and partner buyout,small_business,396.17,12000,11.07,715-719,1
193,6400,14.65,36,Small Business,small_business,220.77,6400,9.68,685-689,0
194,6000,8.9,36,AMEX & Discover,credit_card,190.52,6000,3.97,725-729,1
195,6400,11.54,36,Education,educational,211.17,6400,1.83,665-669,1
196,9000,11.03,36,Credit card consolidation,credit_card,294.78,9000,12.72,685-689,0
197,16000,17.99,60,Major Purchase,major_purchase,406.21,16000,7.55,715-719,1
198,2500,6.39,36,BIke,major_purchase,76.51,2500,5.29,795-799,1
199,7750,16.7,36,Store Purchase,small_business,275.14,7750,19.52,695-699,0
200,15000,10.62,36,Hard worker needs loan - please?,debt_consolidation,488.4,15000,16.69,730-734,0
201,25000,9.51,36,Oil & Gas Investment,small_business,800.95,25000,2.14,775-779,1
202,2400,10.25,36,pay it up fast,debt_consolidation,77.73,2400,2.64,720-724,1
203,9000,7.49,36,CARD CONSOLIDATION,credit_card,279.92,9000,19.9,740-744,1
204,14400,11.49,60,Credit Card Consolidation,credit_card,316.63,14400,27.93,725-729,1
205,10500,11.11,60,Debt Consolidation,debt_consolidation,228.88,10500,17.95,730-734,1
206,16750,11.49,60,life saver,debt_consolidation,255.06,11600,22.71,735-739,0
207,8500,14.35,36,Credit Consolidation Loan,debt_consolidation,291.96,8500,18,675-679,1
208,2500,5.42,36,motorcycle,car,75.4,2500,9.2,785-789,1
209,13400,10.36,60,Credit Card Payoff,debt_consolidation,287.09,13400,24.15,730-734,1
210,17600,18.64,60,Website Purchase,small_business,453.08,17600,11.21,680-684,0
211,23500,10.25,36,Highland,small_business,476.87,14725,19.67,735-739,1
212,16000,11.86,60,Personal,debt_consolidation,354.79,16000,14.63,725-729,0
213,18500,17.8,36,Mortgage Payoff,debt_consolidation,666.97,18500,4.59,660-664,1
214,3500,15.31,36,Debt Consolidation,debt_consolidation,121.87,3500,9.94,670-674,0
215,5500,7.51,36,shovelhead,other,171.11,5500,5.56,725-729,1
216,8000,10.75,36,Silverleaf,major_purchase,260.97,8000,13.6,755-759,0
217,10000,7.51,36,ALWAYS ON TIME,debt_consolidation,311.1,10000,8.97,755-759,1
218,23000,13.67,60,Other,other,531.25,23000,24.53,725-729,1
219,1000,14.09,36,PAY MY CREDIT CARD,credit_card,34.23,1000,1.37,710-714,0
220,4000,10.08,36,Home Improvement,home_improvement,129.22,4000,16.26,715-719,1
221,15000,13.85,36,Med Expense,medical,511.56,15000,16.24,705-709,0
222,9000,6.03,36,Loan,vacation,273.92,9000,5.58,815-819,1
223,8000,11.11,36,Chevelle Loan,car,262.33,8000,6.05,690-694,1
224,30000,17.49,60,PersonalLoan,debt_consolidation,558.85,22250,10.71,725-729,0
225,15000,12.18,36,Debt Consolidation,credit_card,499.5,15000,20.69,725-729,1
226,6300,20.99,60,credit card debt consolidation,debt_consolidation,170.41,6300,10.44,660-664,0
227,20000,17.74,36,Debt consolidation,debt_consolidation,720.42,20000,8.89,660-664,0
228,2500,14.59,36,Staying responsible for my finances in 2010,debt_consolidation,86.17,2500,13.11,660-664,1
229,3300,13.23,60,unexpected expense,other,75.48,3300,18.88,740-744,0
230,1825,12.68,36,Coaching Program,major_purchase,61.22,1825,16.81,730-734,1
231,8325,10.99,36,consolidation,debt_consolidation,272.52,8325,24.75,690-694,0
232,12400,6.62,36,Debt consolidation,debt_consolidation,380.73,12400,20.31,750-754,0
233,20000,12.99,36,tracey loan,debt_consolidation,673.79,20000,18.98,680-684,0
234,3600,12.69,36,Medical ,other,120.77,3600,8.92,685-689,1
235,8000,7.51,36,Helping me pay off bad debt,debt_consolidation,248.88,8000,9.08,760-764,1
236,12000,10.36,36,12k loan at 10.38 interest,debt_consolidation,389.24,12000,14.44,700-704,1
237,15000,10.62,36,Consolidating CC's previously used for prosecution of alleged child molestor,credit_card,488.4,15000,7.71,725-729,0
238,20000,13.8,60,loan,debt_consolidation,463.3,20000,7.73,725-729,0
239,8000,7.49,36,Other Loan,other,248.82,8000,13.03,745-749,0
240,3500,12.61,36,Aaron and Allison,major_purchase,117.28,3500,5.58,690-694,1
241,20000,13.92,36,Consolidate Credit Cards,credit_card,682.74,20000,4.62,740-744,1
242,6000,14.65,36,Consolidation,debt_consolidation,206.97,6000,11.1,670-674,1
243,7000,12.87,36,Credit,debt_consolidation,235.44,7000,9.12,685-689,1
244,2500,9.91,36,Vacation Loan,other,80.57,2500,15.82,715-719,0
245,4000,7.4,36,to buy 2nd vehicle,car,124.24,4000,17.24,780-784,1
246,12000,10.25,36,Good guy with 6 fig income will pay on time,credit_card,388.62,12000,15.92,720-724,1
247,6300,13.85,36,Denise Finance,other,214.86,6300,6.27,690-694,0
248,15350,12.12,36,Pay off 401k Loan,credit_card,510.72,15350,14.17,705-709,1
249,16000,12.99,60,DVD Now Kiosk,small_business,363.97,16000,9.26,755-759,0
250,9600,16.32,60,Debt Consolidation,debt_consolidation,235.09,9600,15.2,680-684,1
251,25000,18.09,36,personal,other,904.88,25000,21.02,670-674,0
252,7200,13.99,36,Pool Loan,home_improvement,246.05,7200,17.71,680-684,1
253,9000,7.9,36,Personal Loan,other,281.62,9000,18.36,725-729,0
254,35000,20.99,60,Debt,debt_consolidation,946.68,35000,13.47,695-699,0
255,8450,11.14,36,Consolidation,debt_consolidation,277.21,8450,7.87,715-719,1
256,11000,13.11,36,The Light At The End of the Tunnel,debt_consolidation,371.2,11000,16.19,685-689,1
257,9800,7.14,36,Hilton,vacation,303.23,9800,13.81,770-774,1
258,14000,13.79,36,Major Purchase,major_purchase,477.06,14000,6.71,685-689,0
259,10500,13.23,60,Business School Loan,educational,240.15,10500,4.6,710-714,1
260,15000,15.58,36,money,debt_consolidation,524.26,15000,14.23,670-674,0
261,4800,14.72,36,trendkill,car,165.74,4800,11.65,680-684,1
262,4000,7.62,36,to pay of loans,debt_consolidation,124.65,4000,15.93,735-739,0
263,9000,19.36,60,Debt Consolidation,debt_consolidation,235.26,9000,6.17,680-684,0
264,23500,21.97,60,debt_consolidation,debt_consolidation,648.65,23500,17.91,685-689,0
265,5000,10.75,60,Emergency Dental Work,medical,108.09,5000,9.83,735-739,1
266,3500,7.9,36,Debt Consolidatin ,debt_consolidation,109.52,3500,28.39,715-719,1
267,10500,13.92,36,Moving to New Location ,small_business,358.44,10500,22.21,755-759,0
268,9500,13.57,36,Medical expenses for my wife's illness.,medical,322.71,9500,0.56,790-794,1
269,2600,17.49,60,freedom,debt_consolidation,65.31,2600,13.02,695-699,0
270,1500,10.25,36,Personal Loan,other,48.58,1500,0.94,710-714,1
271,10000,13.16,36,personal,other,337.71,10000,3.97,730-734,0
272,12000,7.29,36,home repairs,other,372.12,12000,16.15,720-724,1
273,7200,9.91,36,Moving expenses on high interest cc,credit_card,232.02,7200,8.59,690-694,1
274,5000,14.22,36,Car,major_purchase,171.43,5000,7.95,680-684,1
275,35000,12.42,60,Debt Consilidation,debt_consolidation,668.67,29775,0.37,795-799,1
276,5000,11.49,36,Home improvement ,home_improvement,164.86,5000,8.77,695-699,1
277,13000,7.88,36,refinance,credit_card,406.65,13000,22.36,755-759,0
278,25000,12.73,60,Debt Consolidation,debt_consolidation,388.42,17175,22.21,730-734,1
279,6400,16.29,36,Car for Family,other,225.93,6400,8.54,670-674,0
280,12000,6.03,36,Lower rates,debt_consolidation,365.23,12000,8.8,745-749,1
281,15000,10.75,36,Credit fix,debt_consolidation,489.31,15000,21.89,725-729,0
282,14400,10.62,36,credit,debt_consolidation,468.86,14400,22.43,720-724,0
283,8000,15.95,60,Loan,debt_consolidation,194.34,8000,20.16,665-669,0
284,4400,13.16,36,Personal Loan,debt_consolidation,148.59,4400,6.69,705-709,0
285,1000,13.57,36,Apartment Initiative,other,33.97,1000,14,680-684,0
286,5000,11.36,36,poor mom,debt_consolidation,164.56,5000,6.51,685-689,1
287,10000,13.55,36,Ebay Business Expansion,small_business,339.6,10000,3.35,660-664,0
288,22000,16.82,60,Personal,small_business,378.77,15300,18.04,695-699,0
289,5000,6.03,36,Credit Consolidate,credit_card,152.18,5000,7.35,760-764,1
290,5000,16.77,36,Getting Rid of College Debts,debt_consolidation,177.7,5000,12.87,660-664,1
291,20500,19.04,60,Life saver,debt_consolidation,532.24,20500,18.63,670-674,0
292,6000,6.03,36,Debt-Consolidation ,debt_consolidation,182.62,6000,5.34,790-794,1
293,7000,7.49,36,Credit Card Refinancing,credit_card,217.72,7000,20.53,705-709,1
294,9500,11.26,36,Auto Loan,car,312.21,9500,3.73,745-749,1
295,7000,14.96,36,Debt Consolidation,debt_consolidation,242.53,7000,22.49,665-669,1
296,11175,14.96,36,Sabrinas Debt Consolidation Loan,debt_consolidation,387.17,11175,20.79,665-669,1
297,12000,19.29,60,My debt consolidation loan,debt_consolidation,313.21,12000,12.39,670-674,0
298,5000,11.36,36,Bringing it all together.,debt_consolidation,164.55,5000,0.08,730-734,1
299,4000,13.11,36,Debt Consolidation Loan,debt_consolidation,134.99,4000,22.54,675-679,1
300,12875,12.53,36,Going Back To School,educational,430.88,12875,14.9,710-714,0
301,10000,20.3,36,Condo deposit.,major_purchase,373.17,10000,1.68,680-684,0
302,4375,16.4,36,Kristin,debt_consolidation,154.68,4375,21.34,665-669,0
303,35000,17.51,60,Pay it all off!,debt_consolidation,879.47,35000,15.04,710-714,0
304,4000,6.76,36,Chelsey's school loan,other,123.07,4000,1.45,785-789,1
305,5500,12.73,36,PAYING OFF INCOME TAX & AMEX,other,184.62,5500,16.8,690-694,0
306,7000,13.61,36,Wedding Money,other,237.92,7000,17.75,680-684,1
307,5600,9.25,36,Camper,car,178.74,5600,6,760-764,1
308,16000,11.54,36,Personal Loan,debt_consolidation,527.93,16000,12.16,680-684,0
309,18000,17.58,36,Credit Card Refinance,credit_card,646.96,18000,14.59,660-664,1
310,19000,13.55,36,consolidate,debt_consolidation,645.24,19000,1.67,675-679,1
311,8500,14.65,36,Deck,home_improvement,293.21,8500,16.12,665-669,1
312,13600,22.48,60,lakerpurple,debt_consolidation,379.34,13600,14.28,660-664,0
313,7500,11.59,36,Pay off CreditCard Debt from Grad School,credit_card,247.65,7500,9.46,685-689,1
314,8400,12.87,36,Home Improvements,home_improvement,282.52,8400,14.99,685-689,0
315,1600,15.23,36,Pay Debt Faster,debt_consolidation,55.65,1600,17.49,670-674,0
316,8875,7.9,36,loan,credit_card,277.71,8875,17.53,730-734,1
317,3500,6.99,36,Let's Consolidate Some Debt,debt_consolidation,108.06,3500,25,735-739,1
318,8000,14.46,60,Kurtis,major_purchase,188.06,8000,2,690-694,0
319,5000,15.23,36,My Business Loan,small_business,173.9,5000,22.87,660-664,0
320,20000,11.71,36,Consolidation. ,credit_card,661.52,20000,18.2,700-704,0
321,7800,13.79,36,Consolidating credit cards,debt_consolidation,265.79,7800,21.18,670-674,0
322,15000,9.63,36,Kitchen and bathroom remodel,home_improvement,481.42,15000,12.19,770-774,0
323,11400,18.79,60,Small Business Loan,small_business,294.41,11400,17.91,690-694,0
324,21000,17.51,60,Five and out,debt_consolidation,527.69,21000,12.58,675-679,0
325,11000,7.88,36,Credit card consolidation,credit_card,344.09,11000,14.62,745-749,1
326,8000,6.62,36,UTV loan,major_purchase,245.63,8000,19.41,745-749,1
327,23800,8.9,36,Home improvement room addition,home_improvement,755.73,23800,17.91,740-744,0
